Ülke	Tıklamalar	Gösterimler	TO	Pozisyon
İspanya	9.0	87.0	0.10339999999999999	29.13
Ukrayna	7.0	117.0	0.059800000000000006	39.82
Amerika Birleşik Devletleri	6.0	587.0	0.0102	32.16
Rusya	6.0	136.0	0.0441	21.32
Japonya	6.0	65.0	0.09230000000000001	15.51
İtalya	5.0	98.0	0.051	11.9
Vietnam	4.0	97.0	0.0412	20.01
Türkiye	4.0	66.0	0.060599999999999994	19.08
Almanya	2.0	214.0	0.009300000000000001	17.28
İngiltere	2.0	198.0	0.0101	27.6
Hindistan	2.0	128.0	0.015600000000000001	29.98
Endonezya	2.0	114.0	0.0175	15.54
İsveç	2.0	62.0	0.0323	16.06
Hong Kong	2.0	62.0	0.0323	21.44
Bulgaristan	2.0	32.0	0.0625	7.0
Fas	2.0	32.0	0.0625	26.88
Şili	2.0	14.0	0.1429	20.57
Romanya	1.0	61.0	0.016399999999999998	35.2
Polonya	1.0	38.0	0.0263	14.24
Malezya	1.0	25.0	0.04	17.72
Danimarka	1.0	24.0	0.0417	6.0
Belarus	1.0	22.0	0.0455	21.5
Tayland	1.0	22.0	0.0455	22.82
Güney Kore	1.0	20.0	0.05	11.5
Mısır	1.0	19.0	0.0526	13.89
Macaristan	1.0	18.0	0.0556	19.06
Çin	1.0	10.0	0.1	22.4
İran	1.0	8.0	0.125	7.88
Nijerya	1.0	6.0	0.16670000000000001	6.0
Katar	1.0	5.0	0.2	16.6
Malta	1.0	1.0	1.0	8.0
Hollanda	0.0	241.0	0.0	21.36
Kanada	0.0	158.0	0.0	44.08
Avustralya	0.0	79.0	0.0	44.14
Filipinler	0.0	72.0	0.0	24.9
Brezilya	0.0	52.0	0.0	24.58
Meksika	0.0	50.0	0.0	26.02
Singapur	0.0	48.0	0.0	21.65
Fransa	0.0	46.0	0.0	15.52
Pakistan	0.0	35.0	0.0	25.37
Finlandiya	0.0	34.0	0.0	7.47
Bangladeş	0.0	31.0	0.0	32.9
Sırpça	0.0	27.0	0.0	7.3
Birleşik Arap Emirlikleri	0.0	22.0	0.0	10.77
Cezayir	0.0	22.0	0.0	20.73
Tayvan	0.0	19.0	0.0	21.58
Çekya	0.0	18.0	0.0	10.33
Özbekistan	0.0	14.0	0.0	10.07
Belçika	0.0	14.0	0.0	23.14
Portekiz	0.0	13.0	0.0	16.23
İsrail	0.0	13.0	0.0	39.77
Arjantin	0.0	11.0	0.0	27.73
Kazakistan	0.0	10.0	0.0	14.5
Irak	0.0	10.0	0.0	17.6
Colombia	0.0	10.0	0.0	24.3
Güney Afrika	0.0	9.0	0.0	16.67
Suudi Arabistan	0.0	9.0	0.0	22.44
İrlanda	0.0	9.0	0.0	24.0
Ekvador	0.0	9.0	0.0	31.11
Moldova	0.0	8.0	0.0	5.75
Tunus	0.0	8.0	0.0	7.12
İsviçre	0.0	8.0	0.0	8.75
Yunanistan	0.0	7.0	0.0	6.0
Kamboçya	0.0	7.0	0.0	12.43
Ermenistan	0.0	6.0	0.0	13.5
Sri Lanka	0.0	6.0	0.0	13.83
Peru	0.0	6.0	0.0	14.33
Norveç	0.0	5.0	0.0	4.2
Hırvatça	0.0	5.0	0.0	5.4
El Salvador	0.0	5.0	0.0	5.8
Slovakya	0.0	5.0	0.0	6.6
Slovenya	0.0	5.0	0.0	8.0
Avusturya	0.0	5.0	0.0	11.6
Myanmar (Burma)	0.0	5.0	0.0	18.6
Nepal	0.0	5.0	0.0	21.2
Yeni Zelanda	0.0	4.0	0.0	6.5
Georgia	0.0	4.0	0.0	15.5
Bolivya	0.0	4.0	0.0	20.5
Curaçao	0.0	3.0	0.0	7.67
Kırgızistan	0.0	3.0	0.0	9.33
Letonya	0.0	3.0	0.0	20.0
Azerbaycan	0.0	2.0	0.0	1.5
Tacikistan	0.0	2.0	0.0	6.0
Türkmenistan	0.0	2.0	0.0	6.0
Lübnan	0.0	2.0	0.0	7.0
Lüksemburg	0.0	2.0	0.0	7.0
Montenegro	0.0	2.0	0.0	8.0
Suriye	0.0	2.0	0.0	8.5
Makedonya	0.0	2.0	0.0	9.0
San Marino	0.0	2.0	0.0	10.0
Trinidad ve Tobago	0.0	2.0	0.0	10.0
Ürdün	0.0	2.0	0.0	24.5
Bahreyn	0.0	2.0	0.0	26.0
Uruguay	0.0	2.0	0.0	27.5
Dominik Cumhuriyeti	0.0	2.0	0.0	29.0
Venezuela	0.0	2.0	0.0	33.0
Afganistan	0.0	2.0	0.0	37.0
Madagaskar	0.0	1.0	0.0	2.0
Ruanda	0.0	1.0	0.0	3.0
Zambiya	0.0	1.0	0.0	3.0
Libya	0.0	1.0	0.0	4.0
Antigua ve Barbuda	0.0	1.0	0.0	5.0
Haiti	0.0	1.0	0.0	5.0
Seyşel Adaları	0.0	1.0	0.0	5.0
Güney Kıbrıs Rum Yönetimi	0.0	1.0	0.0	6.0
Jamaika	0.0	1.0	0.0	6.0
Kenya	0.0	1.0	0.0	8.0
Sierra Leone	0.0	1.0	0.0	8.0
Litvanya	0.0	1.0	0.0	9.0
Makau	0.0	1.0	0.0	9.0
Sint Maarten	0.0	1.0	0.0	10.0
Uganda	0.0	1.0	0.0	10.0
Etiyopya	0.0	1.0	0.0	11.0
İzlanda	0.0	1.0	0.0	11.0
Togo	0.0	1.0	0.0	11.0
Senegal	0.0	1.0	0.0	12.0
Mali	0.0	1.0	0.0	15.0
Honduras	0.0	1.0	0.0	35.0
Nikaragua	0.0	1.0	0.0	37.0
Bosna Hersek	0.0	1.0	0.0	42.0
Umman	0.0	1.0	0.0	47.0
Guyana	0.0	1.0	0.0	91.0
