Query	Url	2026-07-19_shows	2026-07-19_position	2026-07-19_demand	2026-07-19_ctr	2026-07-19_clicks	2026-07-18_shows	2026-07-18_position	2026-07-18_demand	2026-07-18_ctr	2026-07-18_clicks	2026-07-17_shows	2026-07-17_position	2026-07-17_demand	2026-07-17_ctr	2026-07-17_clicks	2026-07-16_shows	2026-07-16_position	2026-07-16_demand	2026-07-16_ctr	2026-07-16_clicks	2026-07-15_shows	2026-07-15_position	2026-07-15_demand	2026-07-15_ctr	2026-07-15_clicks	2026-07-14_shows	2026-07-14_position	2026-07-14_demand	2026-07-14_ctr	2026-07-14_clicks	2026-07-13_shows	2026-07-13_position	2026-07-13_demand	2026-07-13_ctr	2026-07-13_clicks	2026-07-12_shows	2026-07-12_position	2026-07-12_demand	2026-07-12_ctr	2026-07-12_clicks	2026-07-11_shows	2026-07-11_position	2026-07-11_demand	2026-07-11_ctr	2026-07-11_clicks	2026-07-10_shows	2026-07-10_position	2026-07-10_demand	2026-07-10_ctr	2026-07-10_clicks	2026-07-09_shows	2026-07-09_position	2026-07-09_demand	2026-07-09_ctr	2026-07-09_clicks	2026-07-08_shows	2026-07-08_position	2026-07-08_demand	2026-07-08_ctr	2026-07-08_clicks	2026-07-07_shows	2026-07-07_position	2026-07-07_demand	2026-07-07_ctr	2026-07-07_clicks	2026-07-06_shows	2026-07-06_position	2026-07-06_demand	2026-07-06_ctr	2026-07-06_clicks
лореаль париж крем как проверить срок годности	/ru/brands/loreal-paris	0.0	0.0	2.0	0.0	0.0	3.0	7.3	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	7.0	4.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	2.0	6.5	2.0	0.0	0.0	4.0	7.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	11.0	7.0	0.0	0.0	3.0	6.6	4.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0
лореаль париж трайпл актив год выпуска проверить	/ru/brands/loreal-paris	0.0	0.0	1.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.6	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.6	6.0	0.0	0.0
loreal проверить срок годности	/ru/brands/loreal	1.0	5.0	1.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	2.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	2.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	8.4	5.0	0.0	0.0
batch code	/tr/check	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	4.4	5.0	20.0	1.0	2.0	4.0	5.0	50.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	6.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
vichy проверить срок годности	/ru/brands/vichy	1.0	5.0	2.0	0.0	0.0	1.0	7.0	2.0	100.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
perfumery makers luxembourg	/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.1	6.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
батч код эсте лаудер проверить	/ru/brands/estee-lauder	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.6	4.0	0.0	0.0	2.0	5.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
посмотреть срок годности тоналки по номеру лореаль тоналки без упаковки	/ru/brands/loreal-paris	0.0	0.0	0.0	0.0	0.0	7.0	5.1	7.0	28.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
colour wow пробить срок	/ru/brands/color-wow	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.6	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chanel официальный сайт косметика	/ru/brands/chanel	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.0	20.0	8.0	0.0	0.0	2.0	19.5	4.0	0.0	0.0
батч код гуччи	/ru/brands/gucci-beauty	3.0	10.3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	2.0	0.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
батч код расшифровка kerastase	/ru/brands/kerastase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.5	2.0	0.0	0.0	2.0	8.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dior косметика официальный	/ru/brands/dior	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	22.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	3.0	30.0	7.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
vichy срок годности как определить	/ru/brands/vichy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	1.0	0.0	0.0	1.0	9.0	1.0	100.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	9.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
батч код kerastase	/ru/brands/kerastase	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	100.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0
батч код кельвин кляйн	/ru/brands/calvin-klein	1.0	5.0	1.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
батч код эсте лаудер	/ru/brands/estee-lauder	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.5	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
как проверить подлинность axis-y	/ru/brands/axis-y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
